year,region,school,student
2020,용산구,중학교,21.2
2020,용산구,고등학교,21.5
2020,성동구,유치원,19
2020,성동구,초등학교,19.4
2020,성동구,중학교,22.2
2020,성동구,고등학교,19.2
2020,광진구,유치원,19.8
2020,광진구,초등학교,22.3
2020,광진구,중학교,24.9
2020,광진구,고등학교,26
2020,동대문구,유치원,17.7
2020,동대문구,초등학교,21.8
2020,동대문구,중학교,22.7
2020,동대문구,고등학교,22.6
2020,중랑구,유치원,17.5
2020,중랑구,초등학교,20.9
2020,중랑구,중학교,22.2
2020,중랑구,고등학교,22.5
2020,성북구,유치원,18.6
2020,성북구,초등학교,22.6
2020,성북구,중학교,24.2
2020,성북구,고등학교,23.6
2020,강북구,유치원,13.8
2020,강북구,초등학교,21.9
2020,강북구,중학교,25
2020,강북구,고등학교,25.2
2020,도봉구,유치원,18.8
2020,도봉구,초등학교,21.1
2020,도봉구,중학교,22.3
2020,도봉구,고등학교,22.2
2020,노원구,유치원,17.4
2020,노원구,초등학교,21.5
2020,노원구,중학교,23.5
2020,노원구,고등학교,23.7
2020,은평구,유치원,16.2
2020,은평구,초등학교,22.1
2020,은평구,중학교,23.8
2020,은평구,고등학교,24.4
2020,서대문구,유치원,20.8
2020,서대문구,초등학교,22.3
2020,서대문구,중학교,21.9
2020,서대문구,고등학교,25.1
2020,마포구,유치원,19.5
2020,마포구,초등학교,21.9
2020,마포구,중학교,24.7
2020,마포구,고등학교,25.3
2020,양천구,유치원,18.6
2020,양천구,초등학교,23.7
2020,양천구,중학교,25.5
2020,양천구,고등학교,25
2020,강서구,유치원,18.2
2020,강서구,초등학교,22.1
2020,강서구,중학교,23.7
2020,강서구,고등학교,22.6
2020,구로구,유치원,18.7
2020,구로구,초등학교,21
2020,구로구,중학교,23.1
2020,구로구,고등학교,24.4
2020,금천구,유치원,15.5
2020,금천구,초등학교,18.8
2020,금천구,중학교,22.6
2020,금천구,고등학교,22.8
2020,영등포구,유치원,19.2
2020,영등포구,초등학교,20.5
2020,영등포구,중학교,23
2020,영등포구,고등학교,22.9
2020,동작구,유치원,18.7
2020,동작구,초등학교,22.7
2020,동작구,중학교,24.2
2020,동작구,고등학교,24.9
2020,관악구,유치원,15.3
2020,관악구,초등학교,20.8
2020,관악구,중학교,23.1
2020,관악구,고등학교,22.8
2020,서초구,유치원,18
2020,서초구,초등학교,25.8
2020,서초구,중학교,25.8
2020,서초구,고등학교,25.1
2020,강남구,유치원,18
2020,강남구,초등학교,26.2
2020,강남구,중학교,28.1
2020,강남구,고등학교,24.9
2020,송파구,유치원,20
2020,송파구,초등학교,22.3
2020,송파구,중학교,24.4
2020,송파구,고등학교,23.9
2020,강동구,유치원,20.4
2020,강동구,초등학교,21.6
2020,강동구,중학교,23.7
2020,강동구,고등학교,24.2
2019,전체,유치원,18.6
2019,전체,초등학교,22.6
2019,전체,중학교,23.7
2019,전체,고등학교,25
2019,종로구,유치원,18.4
2019,종로구,초등학교,19.9
2019,종로구,중학교,21.1
2019,종로구,고등학교,24.9
2019,중구,유치원,15.4
2019,중구,초등학교,21.1
2019,중구,중학교,16.5
2019,중구,고등학교,24.6
2019,용산구,유치원,21.6
2019,용산구,초등학교,20.3
2019,용산구,중학교,21.5
2019,용산구,고등학교,22.9
2019,성동구,유치원,19.4
