학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000008153,상암중학교,중학교,2007-06-05,공립,본교,운영,서울특별시 마포구 상암동 1657,서울특별시 마포구 상암산로1길 26,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.57905692,126.8875508,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008113,혜원여자중학교,중학교,1970-03-05,사립,본교,운영,서울특별시 중랑구 망우동 519,서울특별시 중랑구 봉우재로58길 39,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2024-07-09,37.59327987,127.0970427,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008310,양강중학교,중학교,1987-05-07,공립,본교,운영,서울특별시 양천구 신월동 499-2,서울특별시 양천구 중앙로 319,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2024-07-09,37.52491016,126.849688,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008295,배재중학교,중학교,1885-06-08,사립,본교,운영,서울특별시 강동구 고덕동 313,서울특별시 강동구 고덕로 227,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.55505939,127.1502473,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008119,불광중학교,중학교,1974-09-20,공립,본교,운영,서울특별시 은평구 불광동 173,서울특별시 은평구 불광로 180,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.62320355,126.9321291,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008215,수락중학교,중학교,2002-05-04,공립,본교,운영,서울특별시 노원구 상계동 1254,서울특별시 노원구 동일로 1729,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.68314469,127.0548083,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008462,성암여자중학교,중학교,1960-10-01,사립,본교,운영,서울특별시 강북구 미아동 320-1,서울특별시 강북구 도봉로29길 52,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2024-07-09,37.62041353,127.0239059,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008103,면목중학교,중학교,1981-05-04,공립,본교,운영,서울특별시 중랑구 면목동 490,서울특별시 중랑구 용마산로70길 37,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2024-07-09,37.58321586,127.0963033,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008233,동성중학교,중학교,1938-12-08,사립,본교,운영,서울특별시 종로구 혜화동 90-7,서울특별시 종로구 대학로 156,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2024-07-09,37.58496996,127.0030977,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008282,강명중학교,중학교,2012-05-06,공립,본교,운영,서울특별시 강동구 강일동 737,서울특별시 강동구 상일로12길 56,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.555404,127.175014,2024-09-20,B555223,재단법인한국지방교육행정연구재단
